mean_score,max_score,steps
9.9,12.0,164095
10.1,13.0,164693
10.1,13.0,165433
10.3,13.0,166020
9.6,13.0,166370
9.6,13.0,167021
9.3,13.0,167492
9.6,13.0,168292
9.4,13.0,168833
9.4,13.0,169468
8.7,13.0,169855
8.7,13.0,170496
8.2,13.0,170999
8.7,13.0,171630
9.3,13.0,172146
9.7,13.0,172801
10.3,13.0,173539
10.1,13.0,174061
10.3,13.0,174749
10.1,13.0,175312
10.5,13.0,175930
10.6,14.0,176716
11.2,14.0,177349
10.8,14.0,177966
11.0,14.0,178684
10.4,14.0,179207
9.9,14.0,179794
9.8,14.0,180404
9.4,14.0,180895
9.3,14.0,181355
9.3,14.0,181922
8.8,13.0,182552
8.3,12.0,183147
8.6,12.0,183909
8.6,12.0,184600
9.2,13.0,185271
9.3,13.0,185868
9.1,13.0,186338
9.5,13.0,187030
9.5,13.0,187476
9.4,13.0,188030
9.2,13.0,188583
9.2,13.0,189114
9.2,13.0,189897
8.9,13.0,190524
8.5,12.0,191170
10.1,25.0,192343
9.9,25.0,192780
9.8,25.0,193384
10.1,25.0,194032
10.1,25.0,194579
12.1,27.0,195551
12.7,27.0,196402
12.3,27.0,196943
12.1,27.0,197458
11.9,27.0,197955
10.2,27.0,198521
10.7,27.0,199194
10.8,27.0,199804
11.0,27.0,200600
10.9,27.0,201131
9.1,14.0,201732
8.8,11.0,202468
9.0,11.0,203089
10.1,18.0,204135
10.1,18.0,204668
10.9,18.0,205522
11.1,18.0,206292
11.5,18.0,207017
11.1,18.0,207531
11.3,18.0,208153
11.2,18.0,208732
10.6,18.0,209097
10.6,18.0,209779
9.9,16.0,210476
10.1,16.0,211132
9.4,14.0,211759
9.7,15.0,212631
9.8,15.0,213365
10.1,15.0,213977
10.6,15.0,214757
10.6,15.0,215315
11.9,18.0,216025
11.8,18.0,216656
11.4,18.0,217147
11.4,18.0,217714
11.8,18.0,218511
12.0,18.0,219457
11.6,18.0,220201
11.6,18.0,220893
11.6,18.0,221637
11.9,18.0,222479
11.2,17.0,223188
11.5,17.0,224016
11.9,17.0,224761
12.2,17.0,225308
11.9,17.0,225959
11.9,17.0,226767
12.0,17.0,227505
12.1,17.0,228202
13.5,28.0,229514
13.4,28.0,230254
13.3,28.0,230957
13.3,28.0,231657
13.1,28.0,232220
12.9,28.0,232905
13.4,28.0,233804
13.1,28.0,234591
13.2,28.0,235404
13.7,28.0,236395
11.7,16.0,236902
11.6,16.0,237551
12.6,20.0,238508
12.4,20.0,239117
12.7,20.0,239871
12.7,20.0,240571
12.8,20.0,241569
12.9,20.0,242373
12.8,20.0,243090
12.4,20.0,243819
12.9,20.0,244677
13.5,20.0,245475
13.3,18.0,246353
13.9,18.0,247137
14.0,18.0,247909
14.4,18.0,248568
13.7,18.0,249184
13.6,18.0,249869
13.3,18.0,250490
13.9,18.0,251364
14.0,18.0,252184
13.4,18.0,252760
12.4,18.0,253239
11.9,18.0,254007
12.6,20.0,254934
12.1,20.0,255521
12.6,20.0,256193
12.7,20.0,257106
